Feature,Descriptor,X (inches),Y (inches),width,height,diameter,angle
,NEW WALL,0.0,0.0,,,,
,WALL,0.0,94.0,,,,
,WALL,-47.25,94.0,,,,
,NEW WALL,-47.25,188.5,,,,
,WALL,1.0,188.5,,,,
,CABINET,1.0,282.5,,,,
,CABINET,91.25,282.5,,,,
,WALL,1.0,298.75,,,,
,WALL,27.75,298.75,,,,
,WINDOW,27.75,298.75,,,,
,WINDOW,62.5,298.75,,,,
,NEW WALL,34.75,,,,,
,WALL,91.25,298.75,,,,
,WALL,91.25,281.0,,,,
,WALL,102.75,281.0,,,,
,WALL,102.75,284.0,,,,
,WALL,114.75,284.0,,,,
,WINDOW,114.75,284.0,,,,
,WINDOW,200.75,284.0,,,,
,NEW WALL,200.75,284.0,,,,
,WALL,213.25,284.0,,,,
,WALL,213.25,281.0,,,,
,WALL,224.75,281.0,,,,
,WALL,224.75,282.5,,,,
,WALL,252.25,298.75,,,,
,WINDOW,252.25,298.75,,,,
,WINDOW,286.75,298.75,,,,
,CABINET,224.75,298.75,,,,
,CABINET,315.5,298.75,,,,
,NEW WALL,286.75,298.75,,,,
,WALL,315.5,298.75,,,,
,WALL,315.5,282.5,,,,
,WALL,315.5,188.5,,,,
,WALL,363.5,188.5,,,,
,NEW WALL,363.5,93.75,,,,
,WALL,314.75,93.75,,,,
,WALL,314.75,-16.5,,,,
,WALL,286.5,-16.5,,,,
,WINDOW,286.5,-16.5,,,,
,WINDOW,253.0,-16.5,,,,
,CABINETS,314.75,-0.25,,,,
,CABINETS,223.25,-0.25,,,,
,NEW WALL,253.0,-16.5,,,,
,WALL,223.25,-16.5,,,,
,WALL,223.25,15.75,,,,
,WALL,208.75,15.75,,,,
,WALL,208.75,17.75,,,,
,WALL,106.25,17.75,,,,
,WALL,106.25,15.75,,,,
,WALL,91.5,15.75,,,,
,WALL,91.5,0.0,,,,
,WALL,63.25,-16.25,,,,
,WINDOW,63.25,-16.25,,,,
,WINDOW,28.5,-16.25,,,,
,CABINETS,0.0,0.0,,,,
,CABINETS,91.5,0.0,,,,
,NEW WALL,28.5,-16.25,,,,
,WALL,0.0,-16.25,,,,
,WALL,0.0,0.0,,,,
Camera,CAMERA,75.0,38.0,,,,
Sensor,SENSOR-54133,14.0,288.75,,,,
Sensor,SENSOR-LW77938,45.5,287.75,,,,
Sensor,SENSOR-67435,78.5,288.75,,,,
Furniture,TABLE,26.0,34.5,,,48.0,
Furniture,CHAIR,17.0,77.5,24.0,28.0,,
Furniture,CHAIR,18.0,202.5,24.0,28.0,,
Furniture,CHAIR,17.5,237.5,23.0,21.0,,
Furniture,TABLE,31.0,265.5,,,26.0,
Furniture,CHAIR,66.0,271.0,23.0,21.0,,
Furniture,TABLE,94.0,267.25,21.0,25.5,,
Furniture,CHAIR,94.0,248.5,20.0,10.0,,
Furniture,COUCH,155.0,269.0,62.0,28.0,,
Furniture,TABLE,212.0,267.25,21.0,25.5,,
Furniture,CHAIR,237.0,270.5,22.0,19.0,,
Furniture,CHAIR,269.0,250.5,23.0,21.0,,
Furniture,TABLE,301.0,243.5,,,26.0,
Furniture,CHAIR,295.0,207.5,23.0,21.0,,
Furniture,PIANO,301.75,57.5,24.0,64.0,,
Furniture,CHAIR,146.0,190.5,20.0,20.0,,
Furniture,CHAIR,120.0,190.5,20.0,20.0,,
Furniture,CHAIR,172.0,190.5,20.0,20.0,,
Furniture,CHAIR,198.0,190.5,20.0,20.0,,
Furniture,CHAIR,146.0,124.5,20.0,20.0,,
Furniture,CHAIR,120.0,124.5,20.0,20.0,,
Furniture,CHAIR,94.0,124.5,20.0,20.0,,
Furniture,CHAIR,172.0,124.5,20.0,20.0,,
Furniture,CHAIR,198.0,124.5,20.0,20.0,,
Furniture,CHAIR,224.0,124.5,20.0,20.0,,
Furniture,CHAIR,159.0,28.75,20.0,20.0,,
